Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

12-19-2018  7:49PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  sn7448.ngd
output file: sn7448_pad.csv
Part type:   xc9572
Speed grade: -7
Package:     pc44

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,dataout<6>,O,I/O,OUTPUT,,,,,,,,,
P2,rbi,I,I/O,INPUT,,,,,,,,,
P3,dataout<7>,O,I/O,OUTPUT,,,,,,,,,
P4,datain<2>,I,I/O,INPUT,,,,,,,,,
P5,TIE,,I/O/GCK1,,,,,,,,,,
P6,TIE,,I/O/GCK2,,,,,,,,,,
P7,TIE,,I/O/GCK3,,,,,,,,,,
P8,rbo_bi,O,I/O,OUTPUT,,,,,,,,,
P9,TIE,,I/O,,,,,,,,,,
P10,GND,,GND,,,,,,,,,,
P11,dataout<2>,O,I/O,OUTPUT,,,,,,,,,
P12,TIE,,I/O,,,,,,,,,,
P13,TIE,,I/O,,,,,,,,,,
P14,TIE,,I/O,,,,,,,,,,
P15,TDI,,TDI,,,,,,,,,,
P16,TMS,,TMS,,,,,,,,,,
P17,TCK,,TCK,,,,,,,,,,
P18,dataout<4>,O,I/O,OUTPUT,,,,,,,,,
P19,TIE,,I/O,,,,,,,,,,
P20,datain<0>,I,I/O,INPUT,,,,,,,,,
P21,VCC,,VCCINT,,,,,,,,,,
P22,TIE,,I/O,,,,,,,,,,
P23,GND,,GND,,,,,,,,,,
P24,dataout<1>,O,I/O,OUTPUT,,,,,,,,,
P25,TIE,,I/O,,,,,,,,,,
P26,datain<3>,I,I/O,INPUT,,,,,,,,,
P27,TIE,,I/O,,,,,,,,,,
P28,dataout<3>,O,I/O,OUTPUT,,,,,,,,,
P29,TIE,,I/O,,,,,,,,,,
P30,TDO,,TDO,,,,,,,,,,
P31,GND,,GND,,,,,,,,,,
P32,VCC,,VCCIO,,,,,,,,,,
P33,TIE,,I/O,,,,,,,,,,
P34,TIE,,I/O,,,,,,,,,,
P35,dataout<0>,O,I/O,OUTPUT,,,,,,,,,
P36,datain<1>,I,I/O,INPUT,,,,,,,,,
P37,TIE,,I/O,,,,,,,,,,
P38,dataout<5>,O,I/O,OUTPUT,,,,,,,,,
P39,TIE,,I/O/GSR,,,,,,,,,,
P40,TIE,,I/O/GTS2,,,,,,,,,,
P41,VCC,,VCCINT,,,,,,,,,,
P42,TIE,,I/O/GTS1,,,,,,,,,,
P43,lt,I,I/O,INPUT,,,,,,,,,
P44,TIE,,I/O,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


